,Film,Producer(s),Production Company(s),Winner,year,year_simple,Edition,Budget,Budget_converted_to_USD,Detail URL,Wiki URL
327,On Golden Pond,Bruce Gilbert,"ITC , Universal",False,1981  (54th),1981,54,$15 million [ 1 ],15000000,http://oscars.yipitdata.com/films/On_Golden_Pond_(1981_film),http://en.wikipedia.org/wiki/On_Golden_Pond_(1981_film)
328,Raiders of the Lost Ark,Frank Marshall,"Lucasfilm, Paramount",False,1981  (54th),1981,54,$18 million [ 1 ],18000000,http://oscars.yipitdata.com/films/Raiders_of_the_Lost_Ark,http://en.wikipedia.org/wiki/Raiders_of_the_Lost_Ark
329,Reds,Warren Beatty,Paramount,False,1981  (54th),1981,54,$32 million,32000000,http://oscars.yipitdata.com/films/Reds_(film),http://en.wikipedia.org/wiki/Reds_(film)
330,Gandhi,Richard Attenborough,Columbia,True,1982  (55th),1982,55,$22 million [ 3 ],22000000,http://oscars.yipitdata.com/films/Gandhi_(film),http://en.wikipedia.org/wiki/Gandhi_(film)
331,E.T. the Extra-Terrestrial,"Steven Spielberg , Kathleen Kennedy [M]","Universal, Amblin Entertainment",False,1982  (55th),1982,55,$10.500.000 [ 2 ],10500000,http://oscars.yipitdata.com/films/E.T._the_Extra-Terrestrial,http://en.wikipedia.org/wiki/E.T._the_Extra-Terrestrial
332,Missing,"Edward Lewis, Mildred Lewis",Universal,False,1982  (55th),1982,55,$5 million [ 1 ],5000000,http://oscars.yipitdata.com/films/Missing_(film),http://en.wikipedia.org/wiki/Missing_(film)
333,Tootsie,"Sydney Pollack , Dick Richards",Columbia,False,1982  (55th),1982,55,$21 million [ 1 ],21000000,http://oscars.yipitdata.com/films/Tootsie,http://en.wikipedia.org/wiki/Tootsie
334,The Verdict,"Richard D. Zanuck , David Brown",20th Century Fox,False,1982  (55th),1982,55,$16 million [ 1 ] [ 2 ],16000000,http://oscars.yipitdata.com/films/The_Verdict,http://en.wikipedia.org/wiki/The_Verdict
335,Terms of Endearment,James L. Brooks,Paramount,True,1983  (56th),1983,56,$8 million,8000000,http://oscars.yipitdata.com/films/Terms_of_Endearment,http://en.wikipedia.org/wiki/Terms_of_Endearment
336,The Big Chill,Michael Shamberg,Columbia,False,1983  (56th),1983,56,,0,http://oscars.yipitdata.com/films/The_Big_Chill_(film),http://en.wikipedia.org/wiki/The_Big_Chill_(film)
337,The Dresser,Peter Yates,"Columbia, Goldcrest, World Film Services",False,1983  (56th),1983,56,,0,http://oscars.yipitdata.com/films/The_Dresser,http://en.wikipedia.org/wiki/The_Dresser
338,The Right Stuff,"Irwin Winkler , Robert Chartoff","Warner Bros., The Ladd Company",False,1983  (56th),1983,56,$27 million,27000000,http://oscars.yipitdata.com/films/The_Right_Stuff_(film),http://en.wikipedia.org/wiki/The_Right_Stuff_(film)
339,Tender Mercies,Philip S. Hobel,"Universal, EMI",False,1983  (56th),1983,56,$4.5 million,4500000,http://oscars.yipitdata.com/films/Tender_Mercies,http://en.wikipedia.org/wiki/Tender_Mercies
340,Amadeus,Saul Zaentz,Orion,True,1984  (57th),1984,57,$18 million [ 2 ],18000000,http://oscars.yipitdata.com/films/Amadeus_(film),http://en.wikipedia.org/wiki/Amadeus_(film)
341,The Killing Fields,David Puttnam,"Warner Bros., Enigma Film Productions",False,1984  (57th),1984,57,$14.4 million [ 1 ],14400000,http://oscars.yipitdata.com/films/The_Killing_Fields_(film),http://en.wikipedia.org/wiki/The_Killing_Fields_(film)
342,A Passage to India,"John Brabourne , Richard Goodwin","Columbia, G.W. Films, Thorn EMI",False,1984  (57th),1984,57,£17 million [ 1 ],22950000,http://oscars.yipitdata.com/films/A_Passage_to_India_(film),http://en.wikipedia.org/wiki/A_Passage_to_India_(film)
343,Places in the Heart,Arlene Donovan,Tri-Star,False,1984  (57th),1984,57,$9.5 million,9500000,http://oscars.yipitdata.com/films/Places_in_the_Heart,http://en.wikipedia.org/wiki/Places_in_the_Heart
344,A Soldier's Story,"Norman Jewison , Ronald L. Schwary, Patrick Palmer",Columbia,False,1984  (57th),1984,57,,0,http://oscars.yipitdata.com/films/A_Soldier%2527s_Story,http://en.wikipedia.org/wiki/A_Soldier%27s_Story
345,Out of Africa,Sydney Pollack,"Universal, Mirage Enterprises",True,1985  (58th),1985,58,$28 million [ 1 ],28000000,http://oscars.yipitdata.com/films/Out_of_Africa_(film),http://en.wikipedia.org/wiki/Out_of_Africa_(film)
346,The Color Purple,"Steven Spielberg , Kathleen Kennedy , Frank Marshall , Quincy Jones","Warner Bros., Amblin Entertainment",False,1985  (58th),1985,58,$15 million,15000000,http://oscars.yipitdata.com/films/The_Color_Purple_(film),http://en.wikipedia.org/wiki/The_Color_Purple_(film)
347,Kiss of the Spider Woman,David Weisman,"Island Alive, FilmDallas Pictures, HB Filmes",False,1985  (58th),1985,58,,0,http://oscars.yipitdata.com/films/Kiss_of_the_Spider_Woman_(film),http://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(film)
348,Prizzi's Honor,John Foreman,"20th Century Fox, ABC Motion Pictures",False,1985  (58th),1985,58,$16 million [ 1 ],16000000,http://oscars.yipitdata.com/films/Prizzi%2527s_Honor,http://en.wikipedia.org/wiki/Prizzi%27s_Honor
349,Witness,Edward S. Feldman,Paramount,False,1985  (58th),1985,58,$12 million,12000000,http://oscars.yipitdata.com/films/Witness_(1985_film),http://en.wikipedia.org/wiki/Witness_(1985_film)
350,Platoon,Arnold Kopelson,"Orion, Hemdale",True,1986  (59th),1986,59,$6 million [ 2 ],6000000,http://oscars.yipitdata.com/films/Platoon_(film),http://en.wikipedia.org/wiki/Platoon_(film)
