,Film,Producer(s),Production Company(s),Winner,year,year_simple,Edition,Budget,Budget_converted_to_USD,Detail URL,Wiki URL
0,Wings,Lucien Hubbard,"Paramount , Famous Players-Lasky",True,1927 / 28 [A]  (1st),1927,1,US$ 2 million [ 4 ],2000000,http://oscars.yipitdata.com/films/Wings_(1927_film),http://en.wikipedia.org/wiki/Wings_(1927_film)
1,The Racket,Howard Hughes,"Paramount, Caddo",False,1927 / 28 [A]  (1st),1927,1,,0,http://oscars.yipitdata.com/films/The_Racket_(1928_film),http://en.wikipedia.org/wiki/The_Racket_(1928_film)
2,Seventh Heaven,William Fox,Fox,False,1927 / 28 [A]  (1st),1927,1,$1.3 million [ 1 ],1300000,http://oscars.yipitdata.com/films/Seventh_Heaven_(1927_film),http://en.wikipedia.org/wiki/Seventh_Heaven_(1927_film)
3,The Broadway Melody,Irving Thalberg & Lawrence Weingarten,Metro-Goldwyn-Mayer  [L],True,1928 / 29  (2nd),1928,2,,0,http://oscars.yipitdata.com/films/The_Broadway_Melody,http://en.wikipedia.org/wiki/The_Broadway_Melody
4,Alibi,Roland West,"United Artists , Feature Productions",False,1928 / 29  (2nd),1928,2,,0,http://oscars.yipitdata.com/films/Alibi_(1929_film),http://en.wikipedia.org/wiki/Alibi_(1929_film)
5,Hollywood Revue,Harry Rapf,Metro-Goldwyn-Mayer,False,1928 / 29  (2nd),1928,2,"US$426,000 [ 2 ]",426000,http://oscars.yipitdata.com/films/The_Hollywood_Revue_of_1929,http://en.wikipedia.org/wiki/The_Hollywood_Revue_of_1929
6,In Old Arizona,Winfield Sheehan [G],Fox,False,1928 / 29  (2nd),1928,2,,0,http://oscars.yipitdata.com/films/In_Old_Arizona,http://en.wikipedia.org/wiki/In_Old_Arizona
7,The Patriot,Ernst Lubitsch,Paramount,False,1928 / 29  (2nd),1928,2,$1 million,1000000,http://oscars.yipitdata.com/films/The_Patriot_(1928_film),http://en.wikipedia.org/wiki/The_Patriot_(1928_film)
8,All Quiet on the Western Front,"Carl Laemmle, Jr.",Universal,True,1929 / 30 [B]  (3rd),1929,3,$1.2 million [ 2 ],1200000,http://oscars.yipitdata.com/films/All_Quiet_on_the_Western_Front_(1930_film),http://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film)
9,The Big House,Irving Thalberg,Metro-Goldwyn-Mayer,False,1929 / 30 [B]  (3rd),1929,3,,0,http://oscars.yipitdata.com/films/The_Big_House_(1930_film),http://en.wikipedia.org/wiki/The_Big_House_(1930_film)
10,Disraeli,"Jack L. Warner , Darryl F. Zanuck",Warner Bros.,False,1929 / 30 [B]  (3rd),1929,3,,0,http://oscars.yipitdata.com/films/Disraeli_(1929_film),http://en.wikipedia.org/wiki/Disraeli_(1929_film)
11,The Divorcee,Robert Z. Leonard,Metro-Goldwyn-Mayer,False,1929 / 30 [B]  (3rd),1929,3,,0,http://oscars.yipitdata.com/films/The_Divorcee,http://en.wikipedia.org/wiki/The_Divorcee
12,The Love Parade,Ernst Lubitsch,Paramount,False,1929 / 30 [B]  (3rd),1929,3,,0,http://oscars.yipitdata.com/films/The_Love_Parade,http://en.wikipedia.org/wiki/The_Love_Parade
13,Cimarron,William LeBaron,RKO Radio,True,1930 / 31  (4th),1930,4,"$1,433,000 [ 2 ]",1433000,http://oscars.yipitdata.com/films/Cimarron_(1931_film),http://en.wikipedia.org/wiki/Cimarron_(1931_film)
14,East Lynne,Winfield Sheehan [G],Fox,False,1930 / 31  (4th),1930,4,,0,http://oscars.yipitdata.com/films/East_Lynne_(1931_film),http://en.wikipedia.org/wiki/East_Lynne_(1931_film)
15,The Front Page,Howard Hughes,"United Artists, Caddo",False,1930 / 31  (4th),1930,4,,0,http://oscars.yipitdata.com/films/The_Front_Page_(1931_film),http://en.wikipedia.org/wiki/The_Front_Page_(1931_film)
16,Skippy,Adolph Zukor,Paramount,False,1930 / 31  (4th),1930,4,,0,http://oscars.yipitdata.com/films/Skippy_(1931_film),http://en.wikipedia.org/wiki/Skippy_(1931_film)
17,Trader Horn,Irving Thalberg,Metro-Goldwyn-Mayer,False,1930 / 31  (4th),1930,4,$1.3 million [ 1 ],1300000,http://oscars.yipitdata.com/films/Trader_Horn_(1931_film),http://en.wikipedia.org/wiki/Trader_Horn_(1931_film)
18,Grand Hotel,Irving Thalberg,Metro-Goldwyn-Mayer,True,1931 / 32  (5th),1931,5,"$750,000 [ 1 ]",750000,http://oscars.yipitdata.com/films/Grand_Hotel_(film),http://en.wikipedia.org/wiki/Grand_Hotel_(film)
19,Arrowsmith,Samuel Goldwyn,"Goldwyn, United Artists",False,1931 / 32  (5th),1931,5,,0,http://oscars.yipitdata.com/films/Arrowsmith_(film),http://en.wikipedia.org/wiki/Arrowsmith_(film)
20,Bad Girl,Winfield Sheehan [G],Fox,False,1931 / 32  (5th),1931,5,,0,http://oscars.yipitdata.com/films/Bad_Girl_(1931_film),http://en.wikipedia.org/wiki/Bad_Girl_(1931_film)
21,The Champ,King Vidor,Metro-Goldwyn-Mayer,False,1931 / 32  (5th),1931,5,,0,http://oscars.yipitdata.com/films/The_Champ_(1931_film),http://en.wikipedia.org/wiki/The_Champ_(1931_film)
22,Five Star Final,Hal B. Wallis,"Warner Bros., First National",False,1931 / 32  (5th),1931,5,,0,http://oscars.yipitdata.com/films/Five_Star_Final,http://en.wikipedia.org/wiki/Five_Star_Final
23,One Hour with You,Ernst Lubitsch,Paramount,False,1931 / 32  (5th),1931,5,,0,http://oscars.yipitdata.com/films/One_Hour_with_You,http://en.wikipedia.org/wiki/One_Hour_with_You
24,Shanghai Express,Adolph Zukor,Paramount,False,1931 / 32  (5th),1931,5,,0,http://oscars.yipitdata.com/films/Shanghai_Express_(film),http://en.wikipedia.org/wiki/Shanghai_Express_(film)
25,The Smiling Lieutenant,Ernst Lubitsch,Paramount,False,1931 / 32  (5th),1931,5,,0,http://oscars.yipitdata.com/films/The_Smiling_Lieutenant,http://en.wikipedia.org/wiki/The_Smiling_Lieutenant
26,Cavalcade  [H],Winfield Sheehan  [G],Fox,True,1932 / 33  (6th),1932,6,"$1,180,280",1180280,http://oscars.yipitdata.com/films/Cavalcade_(1933_film),http://en.wikipedia.org/wiki/Cavalcade_(1933_film)
27,42nd Street,Darryl F. Zanuck,Warner Bros.,False,1932 / 33  (6th),1932,6,"$439,000 (est.)",439000,http://oscars.yipitdata.com/films/42nd_Street_(film),http://en.wikipedia.org/wiki/42nd_Street_(film)
28,A Farewell to Arms [H],Adolph Zukor,Paramount,False,1932 / 33  (6th),1932,6,"$900,000 [ 1 ]",900000,http://oscars.yipitdata.com/films/A_Farewell_to_Arms_(1932_film),http://en.wikipedia.org/wiki/A_Farewell_to_Arms_(1932_film)
29,I Am a Fugitive from a Chain Gang,Hal B. Wallis,Warner Bros.,False,1932 / 33  (6th),1932,6,,0,http://oscars.yipitdata.com/films/I_Am_a_Fugitive_from_a_Chain_Gang,http://en.wikipedia.org/wiki/I_Am_a_Fugitive_from_a_Chain_Gang
30,Lady for a Day,Frank Capra,Columbia,False,1932 / 33  (6th),1932,6,"$300,000",300000,http://oscars.yipitdata.com/films/Lady_for_a_Day,http://en.wikipedia.org/wiki/Lady_for_a_Day
31,Little Women [H],"Merian C. Cooper , Kenneth MacGowan",RKO Radio,False,1932 / 33  (6th),1932,6,"$424,000 [ 1 ]",424000,http://oscars.yipitdata.com/films/Little_Women_(1933_film),http://en.wikipedia.org/wiki/Little_Women_(1933_film)
32,The Private Life of Henry VIII,Alexander Korda,"United Artists, London Films",False,1932 / 33  (6th),1932,6,"£65,000 [ 1 ]",87750,http://oscars.yipitdata.com/films/The_Private_Life_of_Henry_VIII,http://en.wikipedia.org/wiki/The_Private_Life_of_Henry_VIII
33,She Done Him Wrong,William LeBaron,Paramount,False,1932 / 33  (6th),1932,6,"$200,000 [ 1 ]",200000,http://oscars.yipitdata.com/films/She_Done_Him_Wrong,http://en.wikipedia.org/wiki/She_Done_Him_Wrong
34,Smilin' Through,Irving Thalberg,Metro-Goldwyn-Mayer,False,1932 / 33  (6th),1932,6,"$851,000 [ 1 ]",851000,http://oscars.yipitdata.com/films/Smilin%2527_Through_(1932_film),http://en.wikipedia.org/wiki/Smilin%27_Through_(1932_film)
35,State Fair,Winfield Sheehan [G],Fox,False,1932 / 33  (6th),1932,6,"$600,000 [ 1 ]",600000,http://oscars.yipitdata.com/films/State_Fair_(1933_film),http://en.wikipedia.org/wiki/State_Fair_(1933_film)
36,It Happened One Night  [I],Harry Cohn & Frank Capra,Columbia,True,1934  (7th),1934,7,"$325,000 [ 2 ]",325000,http://oscars.yipitdata.com/films/It_Happened_One_Night,http://en.wikipedia.org/wiki/It_Happened_One_Night
37,The Barretts of Wimpole Street [I],Irving Thalberg,Metro-Goldwyn-Mayer,False,1934  (7th),1934,7,"$820,000 [ 1 ]",820000,http://oscars.yipitdata.com/films/The_Barretts_of_Wimpole_Street_(1934_film),http://en.wikipedia.org/wiki/The_Barretts_of_Wimpole_Street_(1934_film)
38,Cleopatra,Cecil B. DeMille,Paramount,False,1934  (7th),1934,7,,0,http://oscars.yipitdata.com/films/Cleopatra_(1934_film),http://en.wikipedia.org/wiki/Cleopatra_(1934_film)
39,Flirtation Walk,"Jack L. Warner , Hal B. Wallis , Robert Lord",First National,False,1934  (7th),1934,7,,0,http://oscars.yipitdata.com/films/Flirtation_Walk,http://en.wikipedia.org/wiki/Flirtation_Walk
40,The Gay Divorcee,Pandro S. Berman,RKO Radio,False,1934  (7th),1934,7,"$520,000 [ 1 ]",520000,http://oscars.yipitdata.com/films/The_Gay_Divorcee,http://en.wikipedia.org/wiki/The_Gay_Divorcee
41,Here Comes the Navy,Lou Edelman,Warner Bros.,False,1934  (7th),1934,7,,0,http://oscars.yipitdata.com/films/Here_Comes_the_Navy,http://en.wikipedia.org/wiki/Here_Comes_the_Navy
42,The House of Rothschild [I],"Darryl F. Zanuck , William Goetz , Raymond Griffith","20th Century , United Artists",False,1934  (7th),1934,7,,0,http://oscars.yipitdata.com/films/The_House_of_Rothschild,http://en.wikipedia.org/wiki/The_House_of_Rothschild
43,Imitation of Life,John M. Stahl,Universal,False,1934  (7th),1934,7,,0,http://oscars.yipitdata.com/films/Imitation_of_Life_(1934_film),http://en.wikipedia.org/wiki/Imitation_of_Life_(1934_film)
44,One Night of Love,"Harry Cohn , Everett Riskin",Columbia,False,1934  (7th),1934,7,,0,http://oscars.yipitdata.com/films/One_Night_of_Love,http://en.wikipedia.org/wiki/One_Night_of_Love
45,The Thin Man,Hunt Stromberg,Metro-Goldwyn-Mayer,False,1934  (7th),1934,7,"$226,408",226408,http://oscars.yipitdata.com/films/The_Thin_Man_(film),http://en.wikipedia.org/wiki/The_Thin_Man_(film)
46,Viva Villa!,David O. Selznick,Metro-Goldwyn-Mayer,False,1934  (7th),1934,7,"$1,022,000 [ 1 ]",1022000,http://oscars.yipitdata.com/films/Viva_Villa!,http://en.wikipedia.org/wiki/Viva_Villa!
47,The White Parade,Jesse L. Lasky,Fox,False,1934  (7th),1934,7,,0,http://oscars.yipitdata.com/films/The_White_Parade,http://en.wikipedia.org/wiki/The_White_Parade
48,Mutiny on the Bounty  [J],"Irving Thalberg , Albert Lewin",Metro-Goldwyn-Mayer,True,1935  (8th),1935,8,"$1,950,000 [ 2 ]",1950000,http://oscars.yipitdata.com/films/Mutiny_on_the_Bounty_(1935_film),http://en.wikipedia.org/wiki/Mutiny_on_the_Bounty_(1935_film)
49,Alice Adams,Pandro S. Berman,RKO Radio,False,1935  (8th),1935,8,"$342,000 [ 2 ]",342000,http://oscars.yipitdata.com/films/Alice_Adams_(film),http://en.wikipedia.org/wiki/Alice_Adams_(film)
50,Broadway Melody of 1936,"John W. Considine, Jr.",Metro-Goldwyn-Mayer,False,1935  (8th),1935,8,"$1,062,000 [ 2 ]",1062000,http://oscars.yipitdata.com/films/Broadway_Melody_of_1936,http://en.wikipedia.org/wiki/Broadway_Melody_of_1936
51,Captain Blood [J],"Hal B. Wallis , Harry Joe Brown , Gordon Hollingshead","Warner Bros., Cosmopolitan",False,1935  (8th),1935,8,"$1,000,000 (estimated)",1000000,http://oscars.yipitdata.com/films/Captain_Blood_(1935_film),http://en.wikipedia.org/wiki/Captain_Blood_(1935_film)
52,David Copperfield,David O. Selznick,Metro-Goldwyn-Mayer,False,1935  (8th),1935,8,"$1,073,000 [ 1 ] [ 2 ]",1073000,"http://oscars.yipitdata.com/films/Personal_History,_Adventures,_Experience,_and_Observation_of_David_Copperfield_the_Younger_(1935)","http://en.wikipedia.org/wiki/Personal_History,_Adventures,_Experience,_and_Observation_of_David_Copperfield_the_Younger_(1935)"
53,The Informer [J],Cliff Reid,RKO Radio,False,1935  (8th),1935,8,"$243,000 [ 1 ]",243000,http://oscars.yipitdata.com/films/The_Informer_(1935_film),http://en.wikipedia.org/wiki/The_Informer_(1935_film)
54,The Lives of a Bengal Lancer,Louis D. Lighton,Paramount,False,1935  (8th),1935,8,,0,http://oscars.yipitdata.com/films/The_Lives_of_a_Bengal_Lancer_(film),http://en.wikipedia.org/wiki/The_Lives_of_a_Bengal_Lancer_(film)
55,A Midsummer Night's Dream,Henry Blanke,Warner Bros.,False,1935  (8th),1935,8,"$981,000 [ 1 ]",981000,http://oscars.yipitdata.com/films/A_Midsummer_Night%2527s_Dream_(1935_film),http://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream_(1935_film)
56,Les Misérables,Darryl F. Zanuck,"20th Century, United Artists",False,1935  (8th),1935,8,,0,http://oscars.yipitdata.com/films/Les_Mis%C3%A9rables_(1935_film),http://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(1935_film)
57,Naughty Marietta,Hunt Stromberg,Metro-Goldwyn-Mayer,False,1935  (8th),1935,8,"$782,000 [ 1 ]",782000,http://oscars.yipitdata.com/films/Naughty_Marietta_(film),http://en.wikipedia.org/wiki/Naughty_Marietta_(film)
58,Ruggles of Red Gap,"Arthur Hornblow, Jr.",Paramount,False,1935  (8th),1935,8,,0,http://oscars.yipitdata.com/films/Ruggles_of_Red_Gap,http://en.wikipedia.org/wiki/Ruggles_of_Red_Gap
59,Top Hat,Pandro S. Berman,RKO Radio,False,1935  (8th),1935,8,"$ 609,000 [ 4 ]",609000,http://oscars.yipitdata.com/films/Top_Hat,http://en.wikipedia.org/wiki/Top_Hat
60,The Great Ziegfeld,Hunt Stromberg,Metro-Goldwyn-Mayer,True,1936  (9th),1936,9,$2.183 million [ 3 ],2183000,http://oscars.yipitdata.com/films/The_Great_Ziegfeld,http://en.wikipedia.org/wiki/The_Great_Ziegfeld
61,Anthony Adverse,Henry Blanke,Warner Bros.,False,1936  (9th),1936,9,,0,http://oscars.yipitdata.com/films/Anthony_Adverse,http://en.wikipedia.org/wiki/Anthony_Adverse
62,Dodsworth,"Samuel Goldwyn , Merritt Hulbert","Goldwyn, United Artists",False,1936  (9th),1936,9,,0,http://oscars.yipitdata.com/films/Dodsworth_(film),http://en.wikipedia.org/wiki/Dodsworth_(film)
63,Libeled Lady,Lawrence Weingarten,Metro-Goldwyn-Mayer,False,1936  (9th),1936,9,"$603,000 [ 1 ]",603000,http://oscars.yipitdata.com/films/Libeled_Lady,http://en.wikipedia.org/wiki/Libeled_Lady
64,Mr. Deeds Goes to Town,Frank Capra,Columbia,False,1936  (9th),1936,9,"$845,710",845710,http://oscars.yipitdata.com/films/Mr._Deeds_Goes_to_Town,http://en.wikipedia.org/wiki/Mr._Deeds_Goes_to_Town
65,Romeo and Juliet,Irving Thalberg,Metro-Goldwyn-Mayer,False,1936  (9th),1936,9,"$2,066,000 [ 1 ] [ 2 ]",2066000,http://oscars.yipitdata.com/films/Romeo_and_Juliet_(1936_film),http://en.wikipedia.org/wiki/Romeo_and_Juliet_(1936_film)
66,San Francisco,"John Emerson , Bernard H. Hyman",Metro-Goldwyn-Mayer,False,1936  (9th),1936,9,"$1,300,000 [ 1 ] [ 2 ]",1300000,http://oscars.yipitdata.com/films/San_Francisco_(1936_film),http://en.wikipedia.org/wiki/San_Francisco_(1936_film)
67,The Story of Louis Pasteur,Henry Blanke,Warner Bros.,False,1936  (9th),1936,9,,0,http://oscars.yipitdata.com/films/The_Story_of_Louis_Pasteur,http://en.wikipedia.org/wiki/The_Story_of_Louis_Pasteur
68,A Tale of Two Cities,David O. Selznick,Metro-Goldwyn-Mayer,False,1936  (9th),1936,9,"$1,232,000 [ 1 ]",1232000,http://oscars.yipitdata.com/films/A_Tale_of_Two_Cities_(1935_film),http://en.wikipedia.org/wiki/A_Tale_of_Two_Cities_(1935_film)
69,Three Smart Girls,"Joe Pasternak , Charles R. Rogers",Universal,False,1936  (9th),1936,9,,0,http://oscars.yipitdata.com/films/Three_Smart_Girls,http://en.wikipedia.org/wiki/Three_Smart_Girls
70,The Life of Emile Zola,Henry Blanke,Warner Bros.,True,1937  (10th),1937,10,,0,http://oscars.yipitdata.com/films/The_Life_of_Emile_Zola,http://en.wikipedia.org/wiki/The_Life_of_Emile_Zola
71,The Awful Truth,"Leo McCarey , Everett Riskin",Columbia,False,1937  (10th),1937,10,,0,http://oscars.yipitdata.com/films/The_Awful_Truth,http://en.wikipedia.org/wiki/The_Awful_Truth
72,Captains Courageous,Louis Lighton,Metro-Goldwyn-Mayer,False,1937  (10th),1937,10,"$1,645,000 [ 1 ]",1645000,http://oscars.yipitdata.com/films/Captains_Courageous_(1937_film),http://en.wikipedia.org/wiki/Captains_Courageous_(1937_film)
73,Dead End,"Samuel Goldwyn , Merritt Hulbert","Goldwyn, United Artists",False,1937  (10th),1937,10,"$900,000 (est)",900000,http://oscars.yipitdata.com/films/Dead_End_(1937_film),http://en.wikipedia.org/wiki/Dead_End_(1937_film)
74,The Good Earth,"Irving Thalberg , Albert Lewin",Metro-Goldwyn-Mayer,False,1937  (10th),1937,10,"$2,816,000 [ 2 ]",2816000,http://oscars.yipitdata.com/films/The_Good_Earth_(film),http://en.wikipedia.org/wiki/The_Good_Earth_(film)
75,In Old Chicago,"Darryl F. Zanuck , Kenneth MacGowan",20th Century Fox,False,1937  (10th),1937,10,,0,http://oscars.yipitdata.com/films/In_Old_Chicago,http://en.wikipedia.org/wiki/In_Old_Chicago
76,Lost Horizon,Frank Capra,Columbia,False,1937  (10th),1937,10,$2 million [ 1 ],2000000,http://oscars.yipitdata.com/films/Lost_Horizon_(1937_film),http://en.wikipedia.org/wiki/Lost_Horizon_(1937_film)
77,One Hundred Men and a Girl,"Charles R. Rogers , Joe Pasternak",Universal,False,1937  (10th),1937,10,,0,http://oscars.yipitdata.com/films/One_Hundred_Men_and_a_Girl,http://en.wikipedia.org/wiki/One_Hundred_Men_and_a_Girl
78,Stage Door,Pandro S. Berman,RKO Radio,False,1937  (10th),1937,10,"$952,000 [ 2 ]",952000,http://oscars.yipitdata.com/films/Stage_Door,http://en.wikipedia.org/wiki/Stage_Door
79,A Star Is Born,David O. Selznick,"Selznick International , United Artists",False,1937  (10th),1937,10,$1.2 million [ 2 ],1200000,http://oscars.yipitdata.com/films/A_Star_Is_Born_(1937_film),http://en.wikipedia.org/wiki/A_Star_Is_Born_(1937_film)
80,You Can't Take It With You,Frank Capra,Columbia,True,1938  (11th),1938,11,"US$1,644,736 (est.)",1644736,http://oscars.yipitdata.com/films/You_Can%2527t_Take_It_With_You_(film),http://en.wikipedia.org/wiki/You_Can%27t_Take_It_With_You_(film)
81,The Adventures of Robin Hood,"Hal B. Wallis , Henry Blanke",Warner Bros.,False,1938  (11th),1938,11,$2.033 million [ 1 ],2033000,http://oscars.yipitdata.com/films/The_Adventures_of_Robin_Hood_(film),http://en.wikipedia.org/wiki/The_Adventures_of_Robin_Hood_(film)
82,Alexander's Ragtime Band,"Darryl F. Zanuck , Harry Joe Brown",20th Century Fox,False,1938  (11th),1938,11,"$1,200,000–$2,275,000 [ 1 ]",1200000,http://oscars.yipitdata.com/films/Alexander%2527s_Ragtime_Band_(film),http://en.wikipedia.org/wiki/Alexander%27s_Ragtime_Band_(film)
83,Boys Town,"John W. Considine, Jr.",Metro-Goldwyn-Mayer,False,1938  (11th),1938,11,"$772,000 [ 1 ]",772000,http://oscars.yipitdata.com/films/Boys_Town_(1938_film),http://en.wikipedia.org/wiki/Boys_Town_(1938_film)
84,The Citadel,Victor Saville,Metro-Goldwyn-Mayer,False,1938  (11th),1938,11,"$1,012,000",1012000,http://oscars.yipitdata.com/films/The_Citadel_(film),http://en.wikipedia.org/wiki/The_Citadel_(film)
85,Four Daughters,"Hal B. Wallis , Henry Blanke","Warner Bros., First National",False,1938  (11th),1938,11,,0,http://oscars.yipitdata.com/films/Four_Daughters,http://en.wikipedia.org/wiki/Four_Daughters
86,Grand Illusion  [K],"Frank Rollmer, Albert Pinkovitch","R. A. O., World Pictures",False,1938  (11th),1938,11,,0,http://oscars.yipitdata.com/films/Grand_Illusion_(film),http://en.wikipedia.org/wiki/Grand_Illusion_(film)
87,Jezebel,"Hal B. Wallis , Henry Blanke",Warner Bros.,False,1938  (11th),1938,11,$1.25 million,1250000,http://oscars.yipitdata.com/films/Jezebel_(film),http://en.wikipedia.org/wiki/Jezebel_(film)
88,Pygmalion,Gabriel Pascal,Metro-Goldwyn-Mayer,False,1938  (11th),1938,11,"£87,000 [ 1 ]",117450,http://oscars.yipitdata.com/films/Pygmalion_(1938_film),http://en.wikipedia.org/wiki/Pygmalion_(1938_film)
89,Test Pilot,Louis Lighton,Metro-Goldwyn-Mayer,False,1938  (11th),1938,11,"$1,701,000 [ 2 ]",1701000,http://oscars.yipitdata.com/films/Test_Pilot_(film),http://en.wikipedia.org/wiki/Test_Pilot_(film)
90,Gone with the Wind,David O. Selznick,"Selznick International, Metro-Goldwyn-Mayer",True,1939  (12th),1939,12,$3.85 million,3850000,http://oscars.yipitdata.com/films/Gone_with_the_Wind_(film),http://en.wikipedia.org/wiki/Gone_with_the_Wind_(film)
91,Dark Victory,David Lewis,Warner Bros.,False,1939  (12th),1939,12,,0,http://oscars.yipitdata.com/films/Dark_Victory,http://en.wikipedia.org/wiki/Dark_Victory
92,"Goodbye, Mr. Chips",Victor Saville,Metro-Goldwyn-Mayer,False,1939  (12th),1939,12,"$1,051,000 [ 1 ]",1051000,"http://oscars.yipitdata.com/films/Goodbye,_Mr._Chips_(1939_film)","http://en.wikipedia.org/wiki/Goodbye,_Mr._Chips_(1939_film)"
93,Love Affair,Leo McCarey,RKO Radio,False,1939  (12th),1939,12,"$860,000 [ 2 ]",860000,http://oscars.yipitdata.com/films/Love_Affair_(1939_film),http://en.wikipedia.org/wiki/Love_Affair_(1939_film)
94,Mr. Smith Goes to Washington,Frank Capra,Columbia,False,1939  (12th),1939,12,$1.5 million,1500000,http://oscars.yipitdata.com/films/Mr._Smith_Goes_to_Washington,http://en.wikipedia.org/wiki/Mr._Smith_Goes_to_Washington
95,Ninotchka,Sidney Franklin,Metro-Goldwyn-Mayer,False,1939  (12th),1939,12,"$1,365,000 (est.)",1365000,http://oscars.yipitdata.com/films/Ninotchka,http://en.wikipedia.org/wiki/Ninotchka
96,Of Mice and Men,Lewis Milestone,"Roach, United Artists",False,1939  (12th),1939,12,,0,http://oscars.yipitdata.com/films/Of_Mice_and_Men_(1939_film),http://en.wikipedia.org/wiki/Of_Mice_and_Men_(1939_film)
97,Stagecoach,Walter Wanger,United Artists,False,1939  (12th),1939,12,"$531,374 [ 1 ]",531374,http://oscars.yipitdata.com/films/Stagecoach_(1939_film),http://en.wikipedia.org/wiki/Stagecoach_(1939_film)
98,The Wizard of Oz,Mervyn LeRoy,Metro-Goldwyn-Mayer,False,1939  (12th),1939,12,"$2,777,000 [ 1 ]",2777000,http://oscars.yipitdata.com/films/The_Wizard_of_Oz_(1939_film),http://en.wikipedia.org/wiki/The_Wizard_of_Oz_(1939_film)
99,Wuthering Heights,Samuel Goldwyn,"Goldwyn, United Artists",False,1939  (12th),1939,12,,0,http://oscars.yipitdata.com/films/Wuthering_Heights_(1939_film),http://en.wikipedia.org/wiki/Wuthering_Heights_(1939_film)
100,Rebecca,David O. Selznick,"Selznick International, United Artists",True,1940  (13th),1940,13,"$1,288,000 [ 1 ]",1288000,http://oscars.yipitdata.com/films/Rebecca_(1940_film),http://en.wikipedia.org/wiki/Rebecca_(1940_film)
101,"All This, and Heaven Too","Jack L. Warner , Hal B. Wallis , David Lewis",Warner Bros.,False,1940  (13th),1940,13,,0,"http://oscars.yipitdata.com/films/All_This,_and_Heaven_Too","http://en.wikipedia.org/wiki/All_This,_and_Heaven_Too"
102,Foreign Correspondent,Walter Wanger,"Wanger, United Artists",False,1940  (13th),1940,13,"$1,484,167 [ 1 ]",1484167,http://oscars.yipitdata.com/films/Foreign_Correspondent_(film),http://en.wikipedia.org/wiki/Foreign_Correspondent_(film)
103,The Grapes of Wrath,"Darryl F. Zanuck , Nunnally Johnson",20th Century Fox,False,1940  (13th),1940,13,"$800,000 [ 1 ]",800000,http://oscars.yipitdata.com/films/The_Grapes_of_Wrath_(film),http://en.wikipedia.org/wiki/The_Grapes_of_Wrath_(film)
104,The Great Dictator,Charlie Chaplin,"Chaplin, United Artists",False,1940  (13th),1940,13,"$2,000,000",2000000,http://oscars.yipitdata.com/films/The_Great_Dictator,http://en.wikipedia.org/wiki/The_Great_Dictator
105,Kitty Foyle,David Hempstead,RKO Radio,False,1940  (13th),1940,13,"$738,000 [ 1 ]",738000,http://oscars.yipitdata.com/films/Kitty_Foyle_(film),http://en.wikipedia.org/wiki/Kitty_Foyle_(film)
106,The Letter,Hal B. Wallis,Warner Bros.,False,1940  (13th),1940,13,,0,http://oscars.yipitdata.com/films/The_Letter_(1940_film),http://en.wikipedia.org/wiki/The_Letter_(1940_film)
107,The Long Voyage Home,John Ford,"Argosy, Wanger, United Artists",False,1940  (13th),1940,13,"$682,495 [ 1 ]",682495,http://oscars.yipitdata.com/films/The_Long_Voyage_Home,http://en.wikipedia.org/wiki/The_Long_Voyage_Home
108,Our Town,Sol Lesser,"Lesser, United Artists",False,1940  (13th),1940,13,,0,http://oscars.yipitdata.com/films/Our_Town_(1940_film),http://en.wikipedia.org/wiki/Our_Town_(1940_film)
109,The Philadelphia Story,Joseph L. Mankiewicz,Metro-Goldwyn-Mayer,False,1940  (13th),1940,13,"$914,000 [ 1 ]",914000,http://oscars.yipitdata.com/films/The_Philadelphia_Story_(film),http://en.wikipedia.org/wiki/The_Philadelphia_Story_(film)
110,How Green Was My Valley,Darryl F. Zanuck,20th Century Fox,True,1941 [C]  (14th),1941,14,"$800,000 [ 1 ]",800000,http://oscars.yipitdata.com/films/How_Green_Was_My_Valley_(film),http://en.wikipedia.org/wiki/How_Green_Was_My_Valley_(film)
111,Blossoms in the Dust,Irving Asher,Metro-Goldwyn-Mayer,False,1941 [C]  (14th),1941,14,"$1,112,000 [ 1 ]",1112000,http://oscars.yipitdata.com/films/Blossoms_in_the_Dust,http://en.wikipedia.org/wiki/Blossoms_in_the_Dust
112,Citizen Kane,Orson Welles,RKO Radio,False,1941 [C]  (14th),1941,14,"$839,727",839727,http://oscars.yipitdata.com/films/Citizen_Kane,http://en.wikipedia.org/wiki/Citizen_Kane
113,Here Comes Mr. Jordan,Everett Riskin,Columbia,False,1941 [C]  (14th),1941,14,,0,http://oscars.yipitdata.com/films/Here_Comes_Mr._Jordan,http://en.wikipedia.org/wiki/Here_Comes_Mr._Jordan
114,Hold Back the Dawn,"Arthur Hornblow, Jr.",Paramount,False,1941 [C]  (14th),1941,14,,0,http://oscars.yipitdata.com/films/Hold_Back_the_Dawn,http://en.wikipedia.org/wiki/Hold_Back_the_Dawn
115,The Little Foxes,Samuel Goldwyn,RKO Radio,False,1941 [C]  (14th),1941,14,,0,http://oscars.yipitdata.com/films/The_Little_Foxes_(film),http://en.wikipedia.org/wiki/The_Little_Foxes_(film)
